ORF,Observed Expression,Protein Molecules/Cell,Standard Deviation,CEC,Spurious
YDR300C,Both,1.04E+04,-,0.79,0
YDR301W,Both,6.39E+02,-,0.88,0
YDR302W,Both,#,-,0.34,0
YDR303C,Both,1.75E+03,1.15E+01,0.68,0
YDR304C,GFP,-,-,0.66,0
YDR305C,Both,1.92E+03,-,0.66,0
YDR306C,None,-,-,0.62,0
YDR307W,Both,#,-,0.49,0
YDR308C,Both,1.39E+03,-,0.65,0
YDR309C,Both,1.13E+03,-,0.57,0
YDR310C,Both,1.49E+02,-,0.77,0
YDR311W,Both,5.15E+03,1.19E+02,0.85,0
YDR312W,Both,1.35E+03,-,0.77,0
YDR313C,Both,1.95E+02,-,0.43,0
YDR314C,Both,7.86E+01,-,0.7,0
YDR315C,None,-,-,0.39,0
YDR316W,Both,5.04E+02,-,0.7,0
YDR317W,None,-,-,0.63,0
YDR318W,Both,9.52E+02,-,0.57,0
YDR319C,Both,%,-,0.11,0
YDR320C,Both,7.68E+02,-,0.77,0
YDR320C-A,Both,9.67E+02,-,0.21,0
YDR321W,None,-,-,0.7,0
YDR322C-A,Both,4.59E+03,-,0.55,0
YDR322W,Both,7.70E+03,-,0.69,0
YDR323C,Both,7.68E+02,-,0.61,0
YDR324C,Both,5.44E+03,-,0.73,0
YDR325W,Both,1.92E+03,-,0.78,0
YDR326C,Both,%,-,0.76,0
YDR327W,None,-,-,0.02,1
YDR328C,GFP,-,-,0.49,0
YDR329C,Both,1.40E+03,-,0.44,0
YDR330W,Both,6.63E+03,-,0.77,0
YDR331W,Both,1.56E+03,-,0.57,0
YDR332W,Both,1.72E+02,-,0.66,0
YDR333C,Both,3.39E+02,-,0.79,0
YDR334W,Both,6.56E+02,-,0.85,0
YDR335W,Both,3.50E+03,-,0.8,0
YDR336W,None,-,-,0.52,0
YDR337W,Both,6.96E+03,-,0.68,0
YDR338C,Both,1.95E+02,-,0.58,0
YDR339C,None,-,-,0.52,0
YDR340W,None,-,-,0.16,1
YDR341C,TAP,2.06E+04,5.33E+03,0.86,0
YDR342C,TAP,7.35E+03,-,0.58,0
YDR343C,GFP,-,-,0.58,0
YDR344C,GFP,-,-,0.03,0
YDR345C,Both,3.72E+04,-,0.56,0
YDR346C,Both,4.52E+04,-,0.85,0
YDR347W,Both,2.84E+03,-,0.55,0
YDR348C,Both,1.48E+03,-,0.68,0
YDR349C,Both,1.49E+02,-,0.54,0
YDR350C,GFP,-,-,0.44,0
YDR351W,None,-,-,0.59,0
YDR352W,Both,6.35E+03,-,0.48,0
YDR353W,Both,2.92E+05,-,0.72,0
YDR354W,Both,1.76E+03,-,0.58,0
YDR355C,None,-,-,0.02,1
YDR356W,Both,2.79E+02,-,0.7,0
YDR357C,Both,5.89E+02,-,0.68,0
YDR358W,Both,6.56E+02,-,0.84,0
YDR359C,None,-,-,0.72,0
YDR360W,None,-,-,-0.01,1
YDR361C,Both,4.59E+03,-,0.78,0
YDR362C,Both,1.13E+03,3.46E+02,0.61,0
YDR363W,Both,1.89E+03,-,0.7,0
YDR363W-A,Both,5.59E+03,-,0.68,0
YDR364C,Both,1.63E+03,-,0.64,0
YDR365C,Both,6.56E+02,-,0.82,0
YDR366C,None,-,-,0.08,1
YDR367W,Both,3.42E+03,-,0.42,0
YDR368W,Both,1.41E+04,-,0.75,0
YDR369C,Both,3.58E+02,-,0.76,0
YDR370C,Both,1.04E+03,-,0.65,0
YDR371W,Both,3.05E+03,-,0.57,0
YDR372C,Both,1.85E+03,-,0.76,0
YDR373W,Both,7.16E+03,-,0.69,0
YDR374C,None,-,-,0.61,0
YDR375C,Both,1.99E+03,-,0.67,0
YDR376W,Both,1.60E+03,4.26E+02,0.69,0
YDR377W,Both,1.46E+04,-,0.49,0
YDR378C,None,-,-,0.5,0
YDR379C-A,Both,8.61E+02,-,0.29,0
YDR379W,Both,2.54E+02,-,0.66,0
YDR380W,Both,6.56E+03,-,0.74,0
YDR381W,GFP,-,-,0.64,0
YDR382W,Both,6.02E+05,-,0.65,0
YDR383C,None,-,-,0.63,0
YDR384C,Both,#,-,0.26,0
YDR385W,Both,7.81E+04,-,0.68,0
YDR386W,TAP,3.00E+02,-,0.75,0
YDR387C,None,-,-,0.48,0
YDR388W,Both,1.46E+04,-,0.69,0
YDR389W,Both,1.42E+03,-,0.67,0
YDR390C,Both,1.88E+04,3.07E+03,0.83,0
YDR391C,Both,6.02E+03,-,0.67,0
YDR392W,Both,1.71E+03,-,0.76,0
YDR393W,TAP,2.79E+02,-,0.69,0
YDR394W,GFP,-,-,0.78,0
YDR395W,Both,1.63E+04,-,0.82,0
YDR396W,None,-,-,0.32,0
YDR397C,Both,2.95E+03,-,0.46,0
YDR398W,Both,3.31E+04,-,0.8,0
YDR399W,Both,3.65E+04,-,0.79,0
YDR400W,Both,#,-,0.7,0
YDR401W,None,-,-,0.17,0
YDR402C,None,-,-,0.61,0
YDR403W,None,-,-,0.77,0
YDR404C,Both,6.42E+03,-,0.5,0
YDR405W,Both,2.17E+03,-,0.3,0
YDR406W,None,-,-,0.78,0
YDR407C,Both,2.59E+02,-,0.71,0
YDR408C,Both,3.91E+03,-,0.48,0
YDR409W,Both,1.49E+02,-,0.55,0
YDR410C,Both,2.69E+03,-,0.27,0
YDR411C,Both,#,-,0.18,0
YDR412W,Both,2.95E+03,-,0.67,0
YDR413C,None,-,-,-0.01,1
YDR414C,GFP,-,-,0.22,0
YDR415C,None,-,-,0.69,0
YDR416W,Both,2.17E+03,-,0.73,0
YDR417C,None,-,-,0.21,1
YDR418W,Both,5.03E+04,-,0.7,0
YDR419W,Both,1.86E+03,-,0.61,0
YDR420W,TAP,#,-,0.3,0
YDR421W,Both,3.19E+02,-,0.69,0
YDR422C,Both,6.23E+02,-,0.75,0
YDR423C,Both,6.23E+02,-,0.66,0
YDR424C,Both,1.31E+03,-,0.42,0
YDR425W,Both,1.80E+03,-,0.59,0
YDR426C,None,-,-,0.26,0
YDR427W,Both,1.24E+04,-,0.78,0
YDR428C,None,-,-,0.66,0
YDR429C,GFP,-,-,0.79,0
YDR430C,Both,6.14E+03,-,0.85,0
YDR431W,None,-,-,-0.1,1
YDR432W,Both,7.87E+04,-,0.57,0
YDR433W,None,-,-,0.21,1
YDR434W,Both,7.52E+03,-,0.72,0
YDR435C,None,-,-,0.55,0
YDR436W,Both,1.89E+02,-,0.44,0
YDR437W,Both,7.52E+02,-,0.31,0
YDR438W,None,-,-,0.35,0
YDR439W,Both,1.39E+03,-,0.59,0
YDR440W,Both,2.16E+03,-,0.68,0
YDR441C,Both,9.37E+02,-,0.63,0
YDR442W,None,-,-,-0.01,1
YDR443C,Both,%,-,0.73,0
YDR444W,Both,2.07E+03,-,0.63,0
YDR445C,None,-,-,0.08,1
YDR446W,None,-,-,0.64,0
YDR447C,Both,3.05E+04,-,0.58,0
YDR448W,Both,1.72E+03,-,0.56,0
YDR449C,Both,7.52E+03,-,0.67,0
YDR450W,Both,4.81E+04,-,0.52,0
YDR451C,Both,%,-,0.47,0
YDR452W,Both,3.19E+02,-,0.75,0
YDR453C,Both,4.82E+03,-,0.67,0
YDR454C,Both,2.05E+04,-,0.78,0
YDR455C,None,-,-,0.15,1
YDR456W,Both,5.21E+02,-,0.68,0
YDR457W,Both,3.58E+02,-,0.87,0
YDR458C,Both,1.25E+03,-,0.7,0
YDR459C,None,-,-,0.38,0
YDR460W,Both,3.05E+03,-,0.55,0
YDR461W,Both,2.89E+04,-,0.48,0
YDR462W,Both,6.28E+03,-,0.25,0
YDR463W,Both,1.31E+03,-,0.7,0
YDR464W,GFP,-,-,0.78,0
YDR465C,Both,1.60E+03,-,0.77,0
YDR466W,None,-,-,0.65,0
YDR467C,None,-,-,0.04,1
YDR468C,None,-,-,0.7,0
YDR469W,Both,9.37E+02,-,0.58,0
YDR470C,None,-,-,0.7,0
YDR471W,Both,2.29E+04,-,0.58,0
YDR472W,Both,8.35E+03,-,0.48,0
YDR473C,Both,4.32E+02,-,0.69,0
YDR474C,Both,2.13E+03,-,0.58,0
YDR475C,None,-,-,0.32,0
YDR476C,Both,2.12E+03,-,0.11,0
YDR477W,Both,5.89E+02,-,0.79,0
YDR478W,Both,1.72E+02,-,0.34,0
YDR479C,Both,5.04E+03,-,0.64,0
YDR480W,Both,1.31E+03,-,0.65,0
YDR481C,Both,3.06E+03,-,0.74,0
YDR482C,Both,5.56E+02,-,0.13,0
YDR483W,Both,1.30E+04,-,0.81,0
YDR484W,Both,3.13E+03,-,0.7,0
YDR485C,Both,3.58E+02,-,0.79,0
YDR486C,Both,2.11E+03,-,0.57,0
YDR487C,Both,5.46E+03,-,0.63,0
YDR488C,TAP,7.52E+02,-,0.3,0
YDR489W,None,-,-,0.64,0
YDR490C,None,-,-,0.67,0
YDR491C,None,-,-,0.15,1
YDR492W,Both,#,-,0.25,0
YDR493W,Both,2.79E+02,-,0.48,0
YDR494W,None,-,-,0.55,0
YDR495C,Both,2.27E+03,-,0.67,0
YDR496C,Both,2.15E+04,-,0.87,0
YDR497C,Both,#,-,0.59,0
YDR498C,Both,4.91E+03,-,0.55,0
YDR499W,Both,6.06E+02,-,0.72,0
YDR500C,Both,1.97E+04,-,0.34,0
YDR501W,None,-,-,0.65,0
YDR502C,Both,2.20E+04,-,0.69,0
YDR503C,Both,3.00E+02,-,0.2,0
YDR504C,None,-,-,0.09,1
YDR505C,Both,2.59E+02,-,0.61,0
YDR506C,TAP,5.89E+02,-,0.7,0
YDR507C,Both,7.36E+02,-,0.81,0
YDR508C,Both,1.06E+04,-,0.67,0
YDR509W,None,-,-,0.04,1
YDR510W,Both,2.94E+03,-,0.69,0
YDR511W,Both,1.95E+02,-,0.48,0
YDR512C,None,-,-,0.32,0
YDR513W,Both,3.14E+04,-,0.63,0
YDR514C,Both,1.25E+02,-,0.6,0
YDR515W,Both,8.61E+02,-,0.68,0
YDR516C,Both,1.06E+04,-,0.71,0
YDR517W,Both,2.73E+03,-,0.51,0
YDR518W,None,-,-,0.78,0
YDR519W,Both,5.40E+03,-,0.55,0
YDR520C,Both,9.37E+02,-,0.66,0
YDR521W,None,-,-,0.31,0
YDR522C,TAP,2.38E+02,-,0.76,0
YDR523C,GFP,-,-,0.76,0
YDR524C,Both,3.96E+02,-,0.55,0
YDR525W,None,-,-,0.02,1
YDR525W-A,Both,2.04E+04,-,0.17,0
YDR526C,None,-,-,0.14,1
YDR527W,Both,6.88E+02,-,0.74,0
YDR528W,Both,2.59E+02,-,0.62,0
YDR529C,Both,1.01E+04,-,0.6,0
YDR530C,Both,1.77E+03,-,0.63,0
YDR531W,Both,6.19E+03,-,0.58,0
YDR532C,Both,3.77E+02,-,0.64,0
YDR533C,Both,3.58E+02,-,0.72,0
YDR534C,None,-,-,0.39,0
YDR535C,None,-,-,0.01,1
YDR536W,None,-,-,0.69,0
YDR537C,None,-,-,0.41,0
YDR538W,Both,1.75E+03,-,0.5,0
YDR539W,Both,8.61E+02,-,0.77,0
YDR540C,Both,1.72E+02,-,0.53,0
YDR541C,None,-,-,0.82,0
YDR542W,None,-,-,0.46,0
YDR543C,None,-,-,0.06,1
YDR544C,None,-,-,-0.04,1
YDR545W,None,-,-,0.55,0
YEL001C,Both,7.11E+03,-,0.51,0
YEL002C,Both,1.49E+04,-,0.61,0
YEL003W,Both,1.66E+03,-,0.58,0
YEL004W,None,-,-,0.11,0
YEL005C,Both,%,-,0.65,0
YEL006W,Both,1.63E+03,-,0.48,0
YEL007W,Both,1.71E+03,-,0.44,0
YEL008W,Both,%,-,0.07,0
YEL009C,Both,%,-,0.76,0
YEL010W,None,-,-,-0.02,1
YEL011W,Both,1.23E+03,-,0.79,0
YEL012W,Both,1.59E+03,-,0.56,0
YEL013W,Both,5.68E+03,-,0.78,0
YEL014C,GFP,-,-,-0.08,0
YEL015W,Both,2.34E+03,-,0.67,0
YEL016C,TAP,%,-,0.5,0
YEL017C-A,Both,7.47E+04,-,0.32,0
YEL017W,Both,1.30E+03,-,0.36,0
YEL018W,Both,9.37E+02,-,0.59,0
YEL019C,Both,2.80E+03,-,0.59,0
YEL020C,GFP,-,-,0.63,0
YEL020W-A,None,-,-,0.41,0
YEL021W,None,-,-,0.67,0
YEL022W,Both,7.70E+03,-,0.82,0
YEL023C,None,-,-,0.65,0
YEL024W,GFP,-,-,0.66,0
YEL025C,GFP,-,-,0.77,0
YEL026W,None,-,-,0.57,0
YEL027W,Both,8.45E+03,-,0.45,0
YEL028W,None,-,-,0.15,1
YEL029C,Both,%,-,0.7,0
YEL030W,None,-,-,0.82,0
YEL031W,Both,1.87E+03,-,0.83,0
YEL032W,TAP,3.51E+04,5.54E+03,0.81,0
YEL033W,None,-,-,-0.01,1
YEL034W,None,-,-,0.71,0
YEL035C,None,-,-,-0.08,1
YEL036C,GFP,-,-,0.53,0
YEL037C,Both,1.09E+04,-,0.72,0
YEL038W,Both,2.85E+03,-,0.41,0
YEL039C,Both,1.31E+03,-,0.61,0
YEL040W,Both,#,-,0.55,0
YEL041W,TAP,3.00E+02,-,0.62,0
YEL042W,Both,8.68E+03,-,0.83,0
YEL043W,Both,1.49E+02,-,0.63,0
YEL044W,Both,1.72E+03,-,0.24,0
YEL045C,None,-,-,-0.28,1
YEL046C,Both,1.06E+05,-,0.65,0
YEL047C,Both,7.62E+03,-,0.77,0
YEL048C,Both,8.66E+03,-,0.6,0
YEL049W,None,-,-,0.51,0
YEL050C,Both,1.58E+03,-,0.49,0
YEL051W,Both,8.50E+03,-,0.8,0
YEL052W,Both,3.57E+03,-,0.63,0
YEL053C,Both,1.97E+03,-,0.79,0
YEL054C,Both,6.85E+04,-,0.71,0
YEL055C,Both,4.49E+03,-,0.84,0
YEL056W,None,-,-,0.74,0
YEL057C,None,-,-,0.61,0
YEL058W,Both,1.47E+04,-,0.58,0
YEL059C-A,Both,3.58E+02,-,0.04,0
YEL059W,None,-,-,-0.15,1
YEL060C,Both,1.60E+03,-,0.71,0
YEL061C,Both,2.38E+02,-,0.74,0
YEL062W,Both,3.19E+02,-,0.56,0
YEL063C,Both,#,-,0.61,0
YEL064C,None,-,-,0.46,0
YEL065W,GFP,-,-,0.57,0
YEL066W,Both,1.16E+03,-,0.47,0
YEL067C,None,-,-,-0.07,1
YEL068C,TAP,9.52E+02,-,0.3,0
YEL069C,None,-,-,0.55,0
YEL070W,TAP,1.25E+02,-,0.67,0
YEL071W,Both,1.30E+04,-,0.78,0
YEL072W,None,-,-,0.48,0
YEL073C,GFP,-,-,0.31,0
YEL074W,None,-,-,0.03,1
YEL075C,None,-,-,0.53,0
YEL076C,None,-,-,0.44,0
YEL076C-A,None,-,-,0.37,0
YEL076W-C,None,-,-,-,0
YEL077C,None,-,-,0.45,0
YER001W,Both,1.78E+03,-,0.79,0
YER002W,Both,2.86E+03,-,0.75,0
YER003C,Both,5.22E+03,5.16E+02,0.85,0
YER004W,Both,1.34E+03,-,0.44,0
YER005W,Both,4.50E+02,-,0.65,0
YER006W,Both,7.13E+03,-,0.86,0
YER007C-A,Both,4.22E+03,-,0.76,0
YER007W,TAP,2.14E+03,-,0.59,0
YER008C,Both,3.77E+02,-,0.79,0
YER009W,None,-,-,0.56,0
YER010C,TAP,8.46E+02,-,0.49,0
YER011W,Both,6.23E+02,-,0.46,0
YER012W,TAP,2.18E+04,-,0.67,0
YER013W,Both,9.07E+02,-,0.79,0
YER014C-A,None,-,-,0.16,0
YER014W,Both,5.35E+03,-,0.6,0
YER015W,TAP,3.58E+02,-,0.79,0
YER016W,Both,3.63E+03,-,0.55,0
YER017C,Both,3.87E+03,-,0.76,0
YER018C,Both,3.28E+03,-,0.05,0
YER019C-A,Both,4.14E+02,-,0.4,0
YER019W,TAP,2.17E+03,-,0.39,0
YER020W,Both,4.57E+03,-,0.38,0
YER021W,Both,1.67E+04,-,0.74,0
YER022W,Both,3.65E+03,9.55E+01,0.79,0
YER023W,Both,4.35E+04,-,0.65,0
YER024W,Both,3.19E+02,-,0.76,0
YER025W,Both,2.08E+04,2.84E+03,0.72,0
YER026C,TAP,%,-,0.62,0
YER027C,Both,3.59E+03,-,0.6,0
YER028C,GFP,-,-,0.35,0
YER029C,Both,8.61E+02,-,0.42,0
YER030W,Both,6.23E+02,-,0.72,0
YER031C,Both,5.96E+03,-,0.66,0
YER032W,Both,%,-,0.6,0
YER033C,GFP,-,-,0.67,0
YER034W,Both,1.10E+03,-,0.4,0
YER035W,Both,5.38E+02,-,0.3,0
YER036C,Both,1.76E+04,-,0.81,0
YER037W,Both,1.95E+02,-,0.68,0
YER038C,Both,%,-,0.64,0
YER039C,None,-,-,0.27,0
YER039C-A,TAP,9.89E+01,-,0.04,0
YER040W,Both,5.89E+02,-,0.39,0
YER041W,TAP,1.31E+02,-,0.69,0
YER042W,Both,3.07E+03,-,0.69,0
YER043C,GFP,-,-,0.68,0
YER044C,Both,3.77E+02,-,0.38,0
YER044C-A,None,-,-,0.46,0
YER045C,None,-,-,0.6,0
YER046W,None,-,-,0.35,0
YER047C,Both,3.00E+02,-,0.78,0
YER048C,None,-,-,0.79,0
YER048W-A,Both,2.44E+03,-,0.43,0
YER049W,Both,8.91E+03,-,0.86,0
YER050C,TAP,1.21E+03,-,0.34,0
YER051W,TAP,7.84E+02,-,0.64,0
YER052C,Both,4.81E+04,-,0.81,0
YER053C,GFP,-,-,0.54,0
YER053C-A,Both,2.36E+03,-,0.34,0
YER054C,Both,1.25E+02,-,0.7,0
YER055C,None,-,-,0.74,0
YER056C,Both,#,-,0.57,0
YER056C-A,Both,2.36E+04,-,0.53,0
YER057C,TAP,6.72E+02,-,0.59,0
YER058W,None,-,-,0.41,0
YER059W,Both,1.24E+03,-,0.58,0
YER060W,None,-,-,0.5,0
YER060w-A,None,-,-,-,0
YER061C,Both,1.66E+03,-,0.52,0
YER062C,Both,5.00E+03,-,0.7,0
YER063W,Both,6.58E+03,-,0.76,0
YER064C,Both,1.73E+03,-,0.71,0
YER065C,None,-,-,0.77,0
YER066C-A,None,-,-,0.25,0
YER066W,None,-,-,0.46,0
YER067W,Both,8.45E+03,-,0.63,0
YER068W,Both,4.28E+03,-,0.68,0
YER069W,Both,1.18E+03,-,0.82,0
YER070W,Both,2.93E+05,-,0.78,0
YER071C,Both,7.99E+02,-,0.54,0
YER072W,Both,1.21E+04,-,0.37,0
YER073W,Both,2.33E+04,-,0.72,0
YER074W,GFP,-,-,0.57,0
YER075C,Both,7.68E+02,-,0.71,0
YER076C,None,-,-,0.49,0
YER077C,Both,4.32E+02,-,0.67,0
YER078C,Both,5.08E+03,-,0.81,0
YER079W,Both,1.89E+03,-,0.43,0
YER080W,Both,8.20E+03,-,0.83,0
YER081W,Both,7.67E+03,-,0.76,0
YER082C,TAP,5.80E+03,-,0.81,0
YER083C,GFP,-,-,0.44,0
YER084W,Both,3.00E+02,-,-0.05,0
YER085C,None,-,-,0.3,0
YER086W,Both,1.19E+04,-,0.7,0
YER087C-A,Both,2.17E+02,-,-,0
YER087W,TAP,4.77E+02,-,0.74,0
YER088C,Both,2.12E+03,-,0.37,0
YER089C,Both,1.26E+04,-,0.55,0
YER090W,Both,6.51E+03,-,0.81,0
YER091C,Both,2.64E+05,-,0.75,0
YER091C-A,None,-,-,0.02,1
YER092W,Both,2.28E+03,-,0.52,0
YER093C,None,-,-,0.67,0
YER093C-A,TAP,1.84E+03,-,0.37,0
YER094C,None,-,-,0.55,0
YER095W,Both,6.96E+03,-,0.71,0
YER096W,None,-,-,0.77,0
YER097W,None,-,-,-0.02,1
YER098W,Both,9.89E+01,-,0.73,0
YER099C,Both,8.12E+03,-,0.54,0
YER100W,Both,1.90E+03,-,0.64,0
YER101C,Both,9.37E+02,-,0.68,0
YER102W,Both,1.44E+04,-,0.59,0
YER103W,Both,1.79E+04,-,0.81,0
YER104W,Both,2.59E+02,-,0.6,0
YER105C,Both,4.42E+03,-,0.81,0
YER106W,None,-,-,0.64,0
YER107C,Both,1.82E+03,1.36E+02,0.5,0
YER109C,None,-,-,0.54,0
YER110C,Both,3.83E+04,-,0.81,0
YER111C,Both,5.89E+02,-,0.63,0
YER112W,Both,3.44E+03,-,0.33,0
YER113C,Both,%,-,0.42,0
YER114C,Both,6.88E+02,-,0.78,0
YER115C,None,-,-,0.35,0
YER116C,Both,#,-,0.63,0
YER117W,GFP,-,-,0.54,0
YER118C,Both,2.33E+03,-,0.6,0
YER119C,None,-,-,0.19,0
YER119C-A,None,-,-,0.25,1
YER120W,Both,3.50E+03,-,0.64,0
YER121W,None,-,-,0.57,0
YER122C,Both,1.51E+03,-,0.8,0
YER123W,Both,1.32E+03,-,0.7,0
YER124C,Both,3.08E+03,-,0.66,0
YER125W,None,-,-,0.74,0
YER126C,Both,8.66E+03,-,0.69,0
YER127W,TAP,1.43E+03,-,0.75,0
YER128W,Both,9.67E+02,-,0.65,0
YER129W,Both,7.52E+02,-,0.64,0
YER130C,None,-,-,0.65,0
YER131W,Both,5.03E+05,-,0.48,0
YER132C,Both,8.15E+02,-,0.69,0
YER133W,Both,1.46E+04,-,0.68,0
YER134C,Both,6.19E+03,-,0.55,0
YER135C,None,-,-,0.2,1
YER136W,Both,7.28E+03,9.67E+02,0.8,0
YER137C,None,-,-,0.46,0
YER139C,Both,5.48E+03,-,0.62,0
YER140W,GFP,-,-,0.4,0
YER141W,Both,#,-,0.62,0
YER142C,Both,#,-,0.7,0
YER143W,Both,6.51E+03,-,0.64,0
YER144C,TAP,3.00E+02,-,0.59,0
YER145C,Both,8.37E+03,-,0.48,0
YER146W,None,-,-,0.3,0
YER147C,Both,9.07E+02,-,0.21,0
YER148W,Both,%,-,0.69,0
YER149C,Both,7.82E+03,-,0.69,0
YER150W,GFP,-,-,0.4,0
YER151C,Both,2.21E+03,-,0.78,0
YER152C,Both,1.39E+03,-,0.26,0
YER153C,Both,4.68E+02,-,0,0
YER154W,Both,6.55E+03,-,0.41,0
YER155C,Both,1.23E+03,-,0.79,0
YER156C,Both,6.08E+03,-,0.66,0
YER157W,Both,4.14E+03,1.63E+02,0.74,0
YER158C,TAP,7.84E+02,-,0.4,0
YER159C,Both,5.13E+03,-,0.52,0
YER161C,Both,1.24E+03,-,0.64,0
YER162C,Both,8.76E+02,-,0.75,0
YER163C,Both,1.30E+03,-,0.37,0
YER164W,Both,1.62E+03,-,0.91,0
YER165W,Both,1.98E+05,4.85E+04,0.78,0
YER166W,Both,%,-,0.87,0
YER167W,GFP,-,-,0.55,0
YER168C,Both,1.35E+04,2.31E+03,0.81,0
YER169W,Both,2.23E+03,-,0.62,0
YER170W,Both,7.04E+02,-,0.46,0
YER171W,Both,1.44E+04,1.30E+03,0.77,0
YER172C,Both,1.44E+03,-,0.87,0
YER173W,Both,7.52E+02,-,0.63,0
YER174C,Both,7.80E+03,-,0.69,0
YER175C,Both,9.37E+02,-,0.65,0
YER176W,Both,7.36E+02,-,0.72,0
YER177W,Both,1.58E+05,-,0.66,0
YER178W,Both,1.00E+05,-,0.66,0
YER179W,None,-,-,0.69,0
YER180C,None,-,-,0.56,0
YER181C,None,-,-,-0.08,1
YER182W,Both,1.92E+03,-,0.54,0
YER183C,Both,4.68E+02,-,0.49,0
YER184C,None,-,-,0.65,0
YER185W,None,-,-,0.27,0
YER186C,None,-,-,0.41,0
YER187W,None,-,-,0.48,0
YER187W-A,None,-,-,0.12,1
YER188W,TAP,%,-,0.39,0
YER189W,None,-,-,0.54,0
YER190W,None,-,-,0.5,0
YFL001W,Both,5.86E+03,-,0.68,0
YFL002C,Both,5.74E+03,-,0.78,0
YFL003C,None,-,-,0.63,0
YFL004W,Both,2.91E+03,-,0.86,0
YFL005W,None,-,-,0.61,0
YFL006W,Both,1.50E+03,-,0.58,0
YFL007W,Both,2.60E+03,-,0.8,0
YFL008W,Both,5.71E+03,-,0.84,0
YFL009W,None,-,-,0.71,0
YFL010C,Both,6.02E+03,-,0.45,0
YFL010W-A,None,-,-,-0.2,1
YFL011W,None,-,-,0.46,0
YFL012W,None,-,-,0.37,0
YFL013C,Both,1.39E+03,-,0.78,0
YFL013W-A,None,-,-,-,0
YFL014W,Both,4.49E+03,-,0.71,0
YFL015C,None,-,-,-0.11,1
YFL016C,Both,7.57E+03,-,0.59,0
YFL017C,Both,2.55E+03,-,0.43,0
YFL017W-A,Both,1.40E+03,-,0.44,0
YFL018C,Both,2.46E+04,-,0.75,0
YFL019C,None,-,-,0.28,0
YFL020C,None,-,-,0.54,0
YFL021W,Both,1.18E+03,-,0.22,0
YFL022C,None,-,-,0.74,0
YFL023W,Both,1.30E+03,-,0.74,0
YFL024C,Both,1.11E+03,-,0.75,0
YFL025C,Both,#,-,0.71,0
YFL026W,Both,#,-,0.56,0
YFL027C,Both,5.73E+02,-,0.62,0
YFL028C,Both,1.62E+03,-,0.65,0
YFL029C,Both,#,-,0.53,0
YFL030W,TAP,3.39E+02,-,0.49,0
YFL031W,Both,8.97E+03,-,0.39,0
YFL032W,None,-,-,0.07,1
YFL033C,Both,%,-,0.78,0
YFL034C-A,Both,7.47E+04,-,0.7,0
YFL034C-B,Both,2.25E+03,-,0.31,0
YFL034W,Both,1.11E+03,-,0.9,0
YFL036W,GFP,-,-,0.88,0
YFL037W,None,-,-,0.79,0
YFL038C,None,-,-,0.39,0
YFL039C,None,-,-,0.66,0
YFL040W,None,-,-,0.31,0
YFL041W,Both,2.84E+03,-,0.69,0
YFL042C,None,-,-,0.74,0
YFL043C,None,-,-,-,0
YFL044C,Both,2.77E+03,-,0.7,0
YFL045C,Both,3.50E+03,-,0.75,0
YFL046W,Both,%,-,0.57,0
YFL047W,Both,1.75E+03,-,0.74,0
YFL048C,Both,2.90E+03,-,0.83,0
YFL049W,Both,3.18E+03,-,0.79,0
YFL050C,TAP,2.13E+03,-,0.72,0
YFL051C,None,-,-,0.35,0
YFL052W,None,-,-,0.36,0
YFL053W,TAP,%,-,0.62,0
YFL054C,None,-,-,0.6,0
YFL055W,None,-,-,0.44,0
YFL056C,None,-,-,0.45,0
YFL057C,None,-,-,0.62,0
YFL058W,None,-,-,0.65,0
YFL059W,None,-,-,0.69,0
YFL060C,TAP,1.95E+02,-,0.58,0
YFL061W,None,-,-,0.5,0
YFL062W,Both,#,-,0.34,0
YFL063W,None,-,-,-0.11,1
YFL064C,None,-,-,0.46,0
YFL065C,None,-,-,0.16,1
YFL066C,None,-,-,0.46,0
YFL067W,None,-,-,0.17,0
YFL068W,None,-,-,-0.1,1
YFR001W,Both,3.65E+03,-,0.66,0
YFR002W,Both,1.55E+04,-,0.81,0
YFR003C,TAP,1.08E+03,-,0.5,0
YFR004W,Both,1.64E+04,-,0.68,0
YFR005C,Both,1.67E+02,2.20E+01,0.56,0
YFR006W,GFP,-,-,0.81,0
YFR007W,TAP,1.61E+02,-,0.63,0
YFR008W,Both,4.86E+02,-,0.5,0
YFR009W,Both,1.46E+04,-,0.86,0
YFR010W,Both,6.77E+03,-,0.88,0
YFR011C,Both,3.55E+03,-,0.73,0
YFR012W,None,-,-,0.06,1
YFR012W-A,None,-,-,0.16,1
YFR013W,Both,1.77E+03,-,0.8,0
YFR014C,Both,1.52E+03,-,0.82,0
YFR015C,Both,6.30E+03,-,0.81,0
YFR016C,Both,7.04E+02,-,0.76,0
YFR017C,Both,6.39E+02,-,0.24,0
YFR018C,TAP,3.97E+03,-,0.12,0
YFR019W,Both,1.49E+02,-,0.81,0
YFR020W,None,-,-,0.54,0
YFR021W,Both,1.56E+03,-,0.57,0
YFR022W,None,-,-,0.5,0
YFR023W,None,-,-,0.68,0
YFR024C,Both,1.80E+04,-,0.65,0
YFR024C-A,Both,3.67E+03,-,0.66,0
YFR025C,Both,4.28E+03,-,0.47,0
YFR026C,TAP,7.21E+02,-,0.28,0
YFR027W,GFP,-,-,0.32,0
